Paiwan,English
nu ita itung tjelu a iday sa limapuluq a valjitjuq nu tjelu a itung kuzulj a valjitjuq a veli,One piece of clothing is dollars three pieces for dollars
napinazangal na ripung tauta,At that time the Japanese also regarded it as precious
vavui,Mountain pig
ti kaka azua,She is my sister
tima a su ngadan,What is your name
ljakua manguwaq izua na cemiul tja nuamen,But it is a good thing someone took us there
ljakua azua na niaken a sinanaya azua,But I made the frame for the table
mangtjez,come
kuysang,Doctor
zurui ta zurui za a sikudakudan a nadripung tazua,The Japanese were really bad at that time
ui aza varung uri san nimadju umaya ama tja keljang namayatazua aitazua,Maybe he wanted to take it for himself we do not know This is what happened
natjuruvu,many people
paka pazangal aravac ti vuvu i Sauniav pay sa kivadaq tua za rutakatakay tu aki makaya patjamadjuluin,Grandma thought it was too expensive and asked the boss if it could be cheaper
mavetu,saturated
na ika en natemulu a lukai ta u matjaljaljak,I am afraid to tell my parents
puk,Tree Bean
ljakua na ciluq sun na kitjavilivililj a en,But because you are pregnant I am only following you
kimalji kikemuda kumalji kikemuda,whether
mapeljuqanga,It is full
nu djemaljun itjen i qinaljan a sapay nua tjaumaq pinaru semangatj ta upu asinan tarivarivatjan,When you walk into the tribe you will see rows and rows of neatly arranged houses
penuret,stampede on millet
izua zaljum,Water
secugecug,bang
painukana inika zugulj ikapalaing aniya matjaljaljak,If it was not for the tree our elders would not have accepted it
aza i tiaki a i taipan i tupan,There is Okechi Odaizaka Tuzaka
maljia izainu nacemacavu a ramaljemaljeng saʼamaya a sicuayan ui,The elders always wear footwear wherever they go
au anema nu qayaqayam a kemakan tucu namaitucu,What kind of bird eats this millet
uljasunana suljivaljivatj,I hope you are safe
na pinacay men nua nia kama,My dad left us
makaya a ken a kisedjam tua su laqulj,Can I borrow your book
nuika tisun angata tjinuneq aya tjen,If you do not get picked
marivu maqaquljuc,fight
tjamunitumatu,tomato
barubeqan aza tja punguljan a sivuljuvuljuq aya,It is all over the place making noise
nu temalevak kalaingan uri anema aya madrusa,If the eldest inherits what about the other two
napasilevan aken aravac tua ku kinivadaqan tjanusun a vuaq pai makaya qivu anan sun tua pakata palisi nua qemalju,It is a pleasure to interview you today can you talk about the taboo of hunting
a tja kinljanljan kemasi tua zuma,All we recognize is the acquisition of other people
valjitjuq pavai a pakasangas,You have to pay first
tjengelai aken aravc a keman ta cinavu a vaqu,Because I like millet dumplings very much
ta maru tjavulung tjanamen tu pagalju ui,And older than us
saigu aken a pagalju,I will be a little bit
pay aicu itjen a patagiljanga a temalem aya a ramaljemaljeng,The elders will say we have started planting
aicua a aya dridri yu cusuan a aya na murusu sa palisiyan na pulingaw,This is because pigs need to be stabbed by a priest and then sacrificed by a shaman
avan ka masan amen,Until I went to junior high school
namakahikuki,By Airplane
ljenguaqu a vangavangan,Put your toy away
ika avan za vecengel,It is not depression is it
leigiaya ui puleigi aya,Courtesy It is all about courtesy
inianan semenasenav anan aken tua isi,Not yet I am doing the dishes
vuljangaljangaw,Flower Bush
marutemaljimalji anga zua sengesengan,I do not even have a job anymore
ti Api aken kemim aken tjanusun a kivangavang,Kacaw I am Api I have come to play with you
dikilu tjen a kipavalit sa tjen ljitaladj,We can change our clothes and get in
liyaw angata cu a tja nemanemanga i maza a ku sitjumalj,There is a lot more to tell next
aya tjiyukuk,The Chinese call it the trumpet flower
katjutjung,flower
pai aza aljak niamadju,The child
sikiqaung,pray
sa nu semusu aken tazua sicuayan a tjakakudain i kakuljaljaw a ka i nekanan,If I am going to follow my old habits in the old building
nu masan caucau itjen aya nu cinunan itjen,When we were men when we were hunters
anema ta kudayin tazuwa qadaw nu ungdukay djen,What will we do in the sports day
au aza u valjaw ini a ru macaʼu a emeljan sun emeljang sun tua u ama ni,My wife does not know much You know my father in law You know him
na tiamadju a na aya,They helped
palamu anga djemaljun,Almost there
vaika en yu lja masulemvaik timadju,I went home because it was dark He left with me
sukinisedjam,What you are borrowing
ui sanguaq aravac,Yes it is really delicious
masa ika,Maybe
kasicuayan na bulay aravac a na kalevelevan tazua,The weather used to be very good
ari vaiki a benuru,Shall we go play baseball
semeljup,suck in
ljakua kamayan anan a zua sikusiya,But it is still there
aku sikuda panmang ta tja tua avan na tja kutu,We just help people who are in trouble
tja cingui sanguwaq,Cook it longer
aljakan,child
avan ti buya ken,I am buy
taliduan,jovial
nu izua ika pinatjzuan kimuna pazekazekatjanga aya ti madju,Please accept my apologies for any inconvenience
tazau aza tja zubun avan nanga za yince anga,Our pants were atoms back then
qantji,Look
avan nu siapazangal na vasa mahuan,Handling taro is particularly difficult and troublesome
aicu a nia qinaljan tucu,This tribe now
saka pualjak tu drusa,And even after the birth
tjuruvu,multilayer
aicu tjava cu,This is gardenia
izua,Yes
qemeleqel,chew
puvaljaw tja dremedreman na tjaljuljivak,Married to Jasmine from the Kareefa family
saka makaya uta a djilung a tja djaungan ta vutjulj ta tjinpana a tja vavan,It is also needed for curing meat and fish and for making wine
nekanga nu kinaqusav nu kinasaljinga aya,I do not want anything anymore
nakanan za laupawnekanan nu cinpaw,No labor insurance No health insurance
a a djinu a na tja matjaljaljak azua djinumak aya,The proceeds of our parents estate
tucu qemudjaqudjalj anga,Is it raining now
ai tjen a temezeng tucu,We might not be able to handle it
sa avana dremasi a varung,That is why the old people keep getting sunburned
avan za ika lemandandanga timadju lja,And right then he could not hear me anymore
namaya tazua sicuayan sa neka nu,That is the way it used to be no
inika nua se masilidj Cemas ana veneqac taicu a kadjunangan imaza,It is not Kitanohas land it is Gods land
ka maljiyanga,Wait till morning
azua a tjacengelj izua vutjulj ciqav katua ljaceng,For our lunch we had meat fish and greens
aw avan azua sap azua sap izua za vuqer uta nazua aw ika macemu a kilimu azua,And then there are lacquer trees which have a solid core so they do not decay so quickly
zikangan,tick the clock
lima a puluq a cavilj ni kama,My father is years old
aya anga tjen a tjaivilivililj aza tjakudai ziday a malaing inumalj anga,But this makes us the younger generation feel something because the times have changed
tapuluq saka drusa anga cavilj nimadju,He is years old
nining si vaikanga dripung,The Japanese left in the second grade
namakuda,how
au na vaik amen a semamaza i kimcian maka maza i kanalun i vavua,We have been to the Golden Needle past the hills of Mt
tjalja luculucuqan aken a qivu sika caucau,I am the worst talker in the world
tinaleman uta ni tjama tu makamaza ta qaljapang,Dads planted some thyme around here
pinualjakan tjanuaken ka sipualjakan tu manu aken ayau,Place of birth
kaljalaleqeljan,In winter
aicu malji a tja aitucuin tja gecesen satja axx qadid,Even if you fold it like this it is very bitter bitter
siauhuang,Siu Wong
paravac,industrious
zematjak,to display
semusu,recite
kaljaui kalja uragan a aya,Yes in the fall the
a makaviayangan a mavavua,From Gapyeong to the mountains
ta qaciljay aya sun ui izua tu kilailaing,The stone is followed
manu ika en napapalangez lja,But I do not want him to do it because
a semamazai tjaizua i sema tjavadran,Relocation to the old Dashe tribe
muri makanema timadju nu sema kakipucemelan,How does he go to the hospital
nia vaik a nia alapen azua nia aljak kalaingan,So we brought the boss back to take care of him
na masiljinay sun,Do you have an umbrella
kitulutulu sun inuan tua pinayuanan,Where did you learn Paiwanese
izua kakisedjaman itja muljasan,I am renting that Murray Athan
nima cu a inpic,Whose pen is it
kana padjaljung tua uri tjemugut a ramaljemaljeng,The old mans coming in at planting time
hahiduiyan nangata tana maitazua,They are very inspired by that ritual
kumalji a temalen ta nema neka nu,There is nothing left to grow
aza masuvaqu aya na maleveq,That Xiaomi Matsuri five year festival
turika qulipin aicua atja kakudanangata kacalisiyan,So that the culture and customs of our indigenous people will not be eliminated
aka neka masa na vaik a kivanvan,Just not in a position to possibly go out and play
ljemita tu qadav,everyday
uh tazua ka semazua sun,Wo you go then
namaya tua sinu tingula aya,It seems to be liberating
qadjuki pida men aya padjavat amen,I do not know how many times we have moved
lja navinengenengetj,Because I used to tie them
nu vaik amen a sema vavua,If we go to the field
semekez,rest
ika pacuwal ta sicuayan a ramaljeng a kigalju a sisenay a namaya tazua,We do not express it as slowly as the old men used to do and we convey it in song
neka za sicukecukev sicaqecaqev,No lid
ui dubucen pacaljequs qemuljis u uqulj,He hit me in the back with the most upside down headbutt of his mouth
paivavali,grey
ika pida,some
mavanania kinasengesengan taza nia sinekaumaljan a drilisi,That is why we designed the lithographs to commemorate our history of migration
sa papigacalj salingdjelji azua qeluz,Then we will put the post up and put it in
paday vaqu,Rice millet
tiamen ka mata limaunem a ningsi anga men,After we get to grade
maljia mangetjez amen,Even if we get there
tja djaljaw a maka kisiya,It is faster to take the train
azua nia quma tucu,We are in the mountains now
tima su kiniteveljan,Who do you live with
nanguaq sa uri veneli anan aken tua siquliqulip,Well I still have to buy erasers
kemeljangamen ta ngadan na kasiw,We know the name of the tree
pacucun,look at
karimu tua zuma caucau uri karim aen tua sinsi,You find someone else I am going to find the teacher
rali,Taiwan Mulberry Tree
ku vatu,My dog
azua mananiya sikalevaleva,That is what always brings us admiration and joy
tjemenun,weave
ljacalisian,ethnic group plain tribes
sangnuua aravac ai cu a vava,This millet wine is delicious
malim aken a kemacu ta ku paisu makaya ken a kisedjam ta su paisu,I forgot to bring money can I borrow money from you
sa aicu a su aljak sedjelj a na kitulu imaza i taihku ui,Are your kids studying in Taipei
saka kisan sinziyanga itjin makaya masualap azua,Then our faith changed to Christianity and all these religious superstitions disappeared
nu namaqal a qapulunu cu vaqu,The root of this millet is not hard enough
ini ka selaing,Unwilling
tucu anga nekanga nu emauaung,There is no crying now
aitazuazuain a kinisatja,The tribute will be treated like this
pai qaivuin nazua timadju a macidilj,And then you say to a person
kau izua tu puita,And then there was this one time
qinai tucu anga za sinan tjekep tjaimadju sa nekanga za imaza ljiniqa,The wreath is just a normal braid without the silver chain of hair
kidrusa,There are about two
vaik,go
sankagic a en na pavalevalet ta,I will pay it back in three months
maʼaqusulanga men a penuljay tuazua,It is done It is all done
ma ku pacunan tiamadju sasanguaqangta kinavan niamadju ui,I saw the beautiful clothes they were wearing
nacuacuaya men na pagalju,We will wait a while
natjumaq,return home
au nu lumaketj lja ika men na penancuncu,And then sometimes because we do not wear underwear
qaw e kiljava tjara izua ka sukai lja iruka sun a kivala,Then my father said You must have something to say
ika mavetuvetu mayanga kinakeri,It is so small but it seems like it is never enough to eat
aza kama ni cetjan anga,The self reliant father said this
qemadaw anga nazemulezul a kalevelevan,The sun is coming out it is very hot
karari anemaya tjen,What can we say about this rag
aicu maljian a tjaljayanan cu,This is a different breed
mayanga ika ken a macaqu a remipungan,I do not speak Japanese either
tja pizuvan tu aicu a galiljegilj,We are going to put on this shiny one
ta mangetjez a paumalj ti kuljeljeljelje maljiyan ta na sanguaq a kini tjakaljava ni muakaikay,When Goulele comes to visit her again Mukaikai invites him to share a meal with her
pay namatazua sini i liguligu niyamadju pay,That is what they are praying for
sa patagilj anga tiamadj a masudju semusu anga savavayan tua kinisankuyan katua kinapasalivan nua mara kinacemekeljan na sauqaljai,A negotiation is begun in which the man has to pay for the whole family for all the things that have offended and offended the woman family
naseman pazangal anan,I still believe it
valangis aya itjen tu taicu a tja pendrudruqen,This is what we call a new shoot
sadayu aya,You spread it out
tiveljatan,bow
djaravac,take a stroll
aw avan nu maipuq nu pu ljaviavia anga,and collapsed in the middle of the thatching stage
ulja uumaq kangaicu a umaq nua mamazangilan aaya tima aya manu,Oh I hope this becomes the leaders home she thought
sanguwaq nutjakane sa,Mmm Mm hmm It tastes good and it smells good
zaljum,classifier for number of washes
au naniuing ma rengay biuing i taiciu,Then he was hospitalized in Taichungs Yanai Hospital
makuda sun ayaing na en,He asked me what was wrong
aw tiaken a kemasi kedrikedri e namatulu aken ta kiukai ni,As a child I was very much indoctrinated by the church
ta tja sengesengan aya taqaljaqaljan aya,The tribesmen say we have done our job
vanu pacunan aza pasalauz a kadjunangan aya,Just look down below
oh qinemu a vaqu,Oh It is mashed millet
nu neka tja pulingaw ika maqati a namayatucu a sengesengan,If the wizard is not present such a thing cannot be carried out
tjalezua men maljavaljaval amentjaljezua,We walked over there and we talked and talked
padjulu itjen ta asiv,We have to prepare the wood
nia kanen nia kanen a vangalj nucu ui,So we will eat the fruit of the tree
kasicuayan neka nutja pingsiyang katjai sangas,In the old days we did not have much of a refrigerator
inika aya tjaliyau a nia kivangavan nu,He gave us more room to travel
qemadaw,clear sky
a na namavucaciaq anga drawan tja san aradjen anga saʼamaya,My friend as long as it is a little cracked it is still considered dried taro
a qaciljay,A rock
sanu na sepaceceng a vinarunga na savavayan tu pacengceng a namatucu a nu kiljivak nuaya,If the mans care and attention is exactly what the woman wants
avan za nimadju a sazuain a kinacu na sauqaljay a tarev,Depends on what the man brings to the wedding
ika aken a kemeljang,I do not know
vaike a ki tjausangas tua taqaljaqaljan vaike a qemaljup,Advance tribesmen to hunt
u sipennetj a qadaw ui tiaʼen a pu anema u si pennetj ti madju au,And then I set the time because I am the owner of the object
aicu a kisatja pakapazangal i tjen,Taxation is not a simple matter
racumacumay,stag beetle
vanu nguanguaq aravac sa milijmilingan,So the myths are so beautiful
makuda,what way
sinsi a vaik itjen a sema pana a emaveavljemanguy,Teacher are we going to swim in the river
ljelain,treasure
mavacuk,Kent Hill
tjalja tjengelangelayan aken ta patjara semenai,I am most interested in the music department
tja alapen sa the vaik a,I had to take my clothes and leave in silence
ika en nadjemumak tua i varung a,I cannot get the one in my heart
ika sakidjukuda ta taqumaqanan,I do not want to leave my moms house
kadjemaljun amen i a kadjamadjaman,It was morning when we arrived in Dhahran
uri venli aken tua tjalupung tu ita,I want to buy a hat
unting a ken ta palidring a sema kiukay tjananguaq a unting ta maka basu,I will drive to the church because it is more convenient than the bus
ljaku nu secevung tazua nakuya angata parut,If something really bad happens
katuludjen aken lja sa kakedriyan aken ika pumaya a aya tja nuaken,So they tease me I look so young anyway they think it is okay
sinka,Xinhua city and county in Hunan
namavungelay pay ya madrusa,Are you both pregnant
sicuayan anga u ljinengljengan tjanusun qadjawsun a na meqaca nga,I have not seen you in a while Have you grown taller
inia ka namapasusu a tja kadakudanan,It is not going to sustain our culture
pinualjakan a qadaw,birthday
ika en natjengelay,I never liked it
papuqenetj papukai papuvarung,Give me memories Give me words I can think
nanguwa nu tiyiav a makakingcengelj ti sun a ti aken a sicevungan,Can I make an appointment with you tomorrow afternoon
na mapasaqetju sa pedjamuq a kucungal,My knee is bleeding
i tjanuamen i pazuazua,Behind our house
ui sa ya na e seljava ta cemurimedmed,Yeah that is why I do not know much about the rituals of inventory
san vilivililj nia mare aljak sun aya,You are despised by that mother and daughter
timitja a kakerian tucuanga kerianga tja kinljang iniamasusu a sicuayan a sikakudan,Very few children nowadays know the traditional way of proposing marriage
lima milingan,Wait more minutes
aza sicuayan a caucau,The ancestors predicted things before they happened
kitjelangalj,lie down
hahaayangata,Ha ha It is true
tuna kilutulutud a en kaw,I am in pain
tinideqan,Separate
rupurepuran,Positive
situzung ta drukudrukung ta pidaw tua Aya azua aya kasiw azua kasiw,That The wood is used to make the hilt of a kamakiri sword and the hoe
aicua a kaizuan a mazazangljan,The leader of this native land
au aya lemangeda azua tja a tjarayurayuan,Our friends across the mountain have heard our song
sa aza aradj tja pimazain a aradj,Dried taro goes here
ulja na pugusau anga tjen tua tja quma tja djiqesen nu katjugut itjen qaw,Because our farms are already equipped with water pipes we can water the seeds after planting
amapuljat,full
qaljic a nama aya au sinpa aya ma taiki pucemel,If you only have skin damage go to Big Creek for treatment
nupacunen,look like
na cuacuay amen a pa ta sikusiya na kung tja lja,We have been living in public housing for a long time
ka kakedriyan amen amin a na seman aya tazua vangulj,When I was a kid all we did was make gyros
ti palji a su siaya,Did you say Barry
wa pinu cuqelaljan ui,They all have bones
tjenglay a tjekacauan nu qezemezemetj a qatjuvi,Snakes like to appear at night
naguciu tazua,You were the mayor then
tjapaq,bowl
ljakua tucu ikatjen a semusususu anga tua sicuayan a tjasikudakuda a paqulid,But we do not follow the traditional behavior of that time anymore
idaidan za kuwang nu ayaing ikaui pavay a,I told him to give me the gun and he would not
nu mangtjez anga mareka maqacuvucuvung a mareka cinunan avan anga azua vaqu yumakesa nga,And when the young men and warriors have gone down that is when the millet will be ripe
u sivaian a cemapa,I will go back to the screening
a mapalak tua nia pina ta pinaqiladj i qinaljan tu uiyanga tu pungadan,Disrupting the order of the local tribal leaders
na veneli amen ta panguralj kata qudis,We bought pineapples and peaches
sinsi anema uri tja pacunan i pana,Teacher what are we going to see at the riverside
tjara ika maitazua,shouldn't
saka zua sipualjaljakan,And then the old man
kapai u sinisalusalut tja kaka qaljayup,I was hoping that my uncle would use it
ika sun a kasaluan na,No one will believe it
tiaʼen nu izua aʼen ta dremaʼiaian avan azua cinacavuan a u pacunan ui,At traditional Aboriginal dances I especially like to notice the footwear worn by others
ini a ken a lemadenga pai tja pasiqacauana,I cannot hear you can you speak louder
kemin ta paisu tu sipavay ta kuisang,Find the money and pay the doctor
namaitucu a en,I always do
sa qaruti anga a vutjulj kumalji a kakedrian sipaqarut uta,Sharing of carnivorous meat with children is also included
pai pasemalavu a patjara tisun,Please briefly introduce yourself
putedekan,Garden
au nia a tucuing,And then we use it like this
anema zua,What is that
amin azua uqaljay izua timadju,The male priests must be in
ikamana ru kiveli niaken a puzangalan sakamaya zua,And I do not buy and sell in return It is my own passion
pinasalivan,faults
uri malalumalj amen a mavaviljvilj tua calis ,We will compete in tug of war
vaiki a kivangavang ta budru,Let us play ball
matu i tjumaq a tja kina palangezang a kemuda anga anema tja kaken,No matter what we do our family is all we have to rely on what we have to eat
qatjimetjim,flea
matu ika iciningkang yu,More than a year
oh qadjaw ki pinairangan ki anema azua kai a mayatazua ui,I do not know if that is Mien Nam or some other language It is like this
namatazua sa mana niya kakudan imaza i sagaran tua mareka mare paqaljaqaljai,That is how we help each other and respect each other in our village
pualjakanga taza tie sumiku,And then Sumiko was born
aza disiaba demut ta umaq ni djisan ika cuay a ungeting djemaljung,The station is not far from my uncles house and it is just a short drive away
azua ramaljeng masa senay matatulutulu masasananguanguaq tiamadju,The elderly will learn from each other and make up with each other through duets
ai azua su drinawsraw a ngadan,Oh So it is the name you do not remember
ui a manu paqenetjanan sun tjai su vuvu,Yeah so you remember your grandfather
silaing,arbitrary
izua makuda ta su siruvetjek,Something is going to happen to someone in your family
sa avan ti vuvu i tjanuba a tjaivililj,And then my grandfather Danubak
saigu sun a zemingdingsia,Do you know how to ride a bicycle
tjutjuy,feral pigeon
tjemedrelj a vaik,go
qiladjan,empty seat
nu ka tja si kuwan ta caucau,We are not shooting anyone
iaya,At that time
paka kesaing a djuadjuay,Sticky rice should be cooked
kamayan azua nia suding i gadu,The rice fields on the mountain are still the same as before
ljaku e sa aya aza malekaka,But his brothers
na aya pakaleva,I am noticeable
venetjuwas venetjus,rip
pai alapu a nu laqulj,Please take out your textbook
vanu vaiken na kitjavililj nuz mareqaliqali aya,We will follow you
kimu ta zuma uri vaik aken a kemim ta sinsi,You find someone else I am going to find the teacher
tjakadjan,sister in law
nu iniatjena vaik a qiziyu,If we do not move the village
va,lung
pai sasav angamen a mareka maqacuvucuvung a mapuljat,Then all of us young people came out
tjananguaq a palainga ta penaljan ti Mavaliv,It is best not to declare yourself a Marwari
calag aya itjen,We call them vertebrae
tacekeljan,Family Composition
suliyavu a kemen nuka sun a qaliqali,Try to eat and drink as much as possible you are not an outsider
liav aravac a pacacikecikel a sidusiyahaiya i kadjalanan manasika maka utubai amen a sema zua,There are a lot of cars in the city so we go there by motorcycle
vatu,puppy
anemacu anga tjai vililj,About what went on after
esadayu,Oh Break it up
emusiluilui a ziudan,Funny joke
kacuin naʼen na ma taimali,Take me to Taimali
kemasi inua en na pasududu,I do not know where I am going to enter the hall
qau matavakanga pasazua inianga kamena paka sarekuya tjayau,So I have gotten used to being dropped off there and I do not feel inconvenienced anymore
pacun kauqaljayan aicu aya pina ljailjai tusa kavaluan aya qau,This is a real man who wears lilies
ngayngay,Hakka people
natjemaucikel,He said orally
tua tja qipucemel tja veli tu anemanema,Going to outpatient clinics and shopping for groceries
neka tjasika papi ka kipaisuan ku ayavaw,We do not have a place to make money
ezung,window
ni zengedrur ni drayan ta tja inizuanan namataza amayacu,We must honor our domain as we belong to the Zenro family and the Layan family
tjatazuaw a u kai saka sevalit aravac tu aicu a tja tjaivilivililj mareka tja aljak a tja vuvu,So that is all I have to say to our future generations even though our future generations have changed with the times
pay ku sisungicuan tua vangalj ta su kanen,Let me peel the fruit for you
kipaqaljai ta salasaladj ti kuliw ikai ta tjara kemacu anga nu tjaivililj ta nemanga timadju masalu uta ta salasaladj ta na selaing a pasedjam ta nemanga tjaimadju,tulip apologized to the students and said that he would definitely bring his own things in the future and thanked the classmates for their willingness to lend him things before
kau padjaljun tua nia zipu,And then to our jeep
titjen a inavalj a se paiwan a tja kinaizuanan dungdung tua i vuljavuljaw tusia mamamau a tja kadjunangan,The geographical location of our Southern Paiwan tribe is relatively close to the Hengchun Peninsula so the climate is almost the same
sangel,chair
na kulusi anan ania sikac,We are still living in poverty
ui ui masalu,Yes Thank you sir
mamavecik tua kiyakesiw,Just sign the contract
ljakua kemeljan anga sicuayan namaya ta quljimamarav a kaljusekusan aya,You see in the old days people used to know a rainbow of colorful nail polish to describe the
makaya sun a ku kivadaqan,Can I interview you
a macaqu a palalingedan a uqaljaqaljay ui tu kina qusav na vavayavayan,Men who play the nose flute do succeed in catching the eye of the opposite sex and they win many compliments
izua sikudakuda ngata namaitucu a kakudangan,There must be a reason for this to happen
