Amis,English
ljemita tua qadav,everyday
a,[indistinct]
sema,late
tatakesian,Schools
"kemasi inuan sun, Selep?","Selep, where are you from?"
kemasi,From...
inuan sun,Where are you?
Selep,(woman's name)
kemasi Valangav aken.,I'm from Taitung.
kemasi,from
Valangav aken,I...Taitung
uri sema inuansun nutiav?,Where are you going tomorrow?
uri,will
sema,"To, to"
inuan sun,Where are you?
nutiav,for tomorrow
uri sema Akaw aken nutiav.,I am going (to) Pingtung tomorrow.
uri,will
sema,"To, to"
Akaw aken,I (to) Pingtung
nutiav,for tomorrow
kigaljuanga!,Go slow!
kigaljuanga,I'm slowing down.
"ui, masalu!","Yes, thank you."
ui,yea
masalu,"Thank you, sir."
nanguaq angata a kinaqadavan tucu.,The weather was really nice today.
nanguaq angata,It's really good.
a,[indistinct]
kinaqadavan,Weather
tucu,Today; now
qemaljuqaljup ti kama i gadu.,Dad is hunting in the mountains.
qemaljuqaljup,Hunting.
ti,[indistinct]
kama,(informal) father
i,over
gadu,mountain forest
venatevateq ti kina i pana.,Mom is washing clothes by the stream.
venatevateq,Doing laundry.
ti,[indistinct]
kina,Mom.
i,over
pana,"Creek, River"
kivangavangavang amen katua ku kaka a uqaljaqaljay i tjumaq.,"Me and my brother, we've been playing at home."
kivangavangavang amen,We've been playing around.
katua,respond in singing
kukaka a uqaljaqaljay,My brother.
i,over
tjumaq,At home; home
na cemedas anga qadav.,The sun is out.
na,[indistinct]
cemedas anga,The dawn has shone.
qadav,Sun; day
vaik a karakuda ti kama kati kina.,Mommy and Daddy went to work.
vaik,(after a verb of motion indicates movement away from the speaker)
a,[indistinct]
karakuda,(of a machine) operate
ti,[indistinct]
kama,(informal) father
kati,respond in singing
kina,Mom.
na minequt anga a qiljas.,The moon is out.
na,[indistinct]
minequt anga,It's coming out.
a,[indistinct]
qiljas,the moon
na tjumaq anga ti kama kati kina.,Dad and Mom are already home.
na,[indistinct]
tjumaq anga,Going home.
ti,[indistinct]
kama,(informal) father
kati,respond in singing
kina,Mom.
kaykayv amen sane pacucun tua vitjuqan.,We eat dinner and look at the stars.
kaykayv amen,We're having dinner.
sane,"Also, and"
pacucun,look at
tua,[indistinct]
vitjuqan,star
qemudjaqudjalj anga.,It's raining.
qemudjaqudjalj anga,It's raining.
na masiljinay sun?,Do you have an umbrella?
na,[indistinct]
masiljinay sun,You're carrying an umbrella.
"ui, na masiljinay aken.","Yes, I do carry an umbrella."
ui,yea
na,[indistinct]
masiljinay aken,I have an umbrella.
mavan a inu a su ljinay?,Which umbrella is yours?
mavan,just like
a,[indistinct]
inu,which
a,[indistinct]
su ljinay,Your umbrella.
mavan a aicu.,This is the one.
mavan,just like
a,[indistinct]
aicu,This one.
ari! vaiki anga.,Come along! Let's go.
ari,Come on.
vaiki,Let's go.
anga,(modal particle intensifying preceding clause)
anema a quljav nua qerepus i kalevelevan?,What color are the clouds in the sky?
anema,What's that?
a,[indistinct]
quljav,Color
nua,[indistinct]
qerepus,cloud
i,over
kalevelevan,heavenly
vuteqiteqilj.,White.
vuteqiteqilj,white
bulaybulay a quljivangerav i kalevelevan?,Is the rainbow beautiful?
bulaybulay,Okay. Beauty.
a,[indistinct]
quljivangerav,rainbow
i,over
kalevelevan,heavenly
"ui, bulay angata a quljivangerav i kalevelevan.","Yes, the rainbow in the sky is beautiful."
ui,yea
bulay angata,It's really beautiful.
a,[indistinct]
quljivangerav,rainbow
i,over
kalevelevan,heavenly
izua sepatj a vuljangav i cemecemel.,There are four flowers in the wild.
izua,there are
sepatj,4
a,[indistinct]
vuljangav,florid
i,over
cemecemel,countryside
na cemuvuq tu alu a qapulu tua kasiv i cemecemel.,Eight trees grew in the wild.
na,[indistinct]
cemuvuq,grow
tu,[indistinct]
alu,8
a,[indistinct]
qapulu,"classifier for plants e.g. trees, shrubs and most vegetables"
tua,[indistinct]
kasiv,trees
i,[indistinct]
cemecemel,countryside
nu venali matu na maleva sa dremequdrequng.,"When the wind blows, it seems to nod happily."
nu,[indistinct]
venali,blow
matu,as if
na,[indistinct]
maleva,thrilled
sa,[indistinct]
dremequdrequng,Nod your head.
matu cemabecabecab tua lima a cemel i kadjunangan uta.,The grass on the ground seems to be clapping as well.
matu,as if
cemabecabecab,Take a shot.
tua,[indistinct]
lima,person skilled in certain types of work
a,[indistinct]
cemel,grassy
i,over
kadjunangan,geodetic
uta,surname Ye
izua tjuruvu a ku qali.,I have a lot of friends.
izua,there are
tjuruvu,numerous
a,[indistinct]
ku qali,My friend.
"sa qaca ravac ti Kapi, sa kedri aravac ti Cingul.",Kapi is tall and Cingul is short.
sa,[indistinct]
qaca ravac,Very tall.
ti,[indistinct]
Kapi,(man's name)
sa,[indistinct]
kedri aravac,Very short.
ti,[indistinct]
Cingul,(man's name)
"na padjalim aravc ti Muakay, na mavulaqut aravc ti Sawljaljuy.",Muakay is very hardworking and Sawljaljuy is very lazy.
na,[indistinct]
padjalim aravc,Very hardworking
ti,[indistinct]
Muakay,(woman's name)
na,[indistinct]
mavulaqut aravc,Very lazy.
ti,[indistinct]
Sawljaljuy,(woman's name)
meseljang amen a ljemita tua qadav a kitulutulu sane kivangavangavang i kungkuan.,We read and play together every day at school.
meseljang amen,We're all in this together.
a,[indistinct]
ljemita tua qadav,everyday
a,[indistinct]
kitulutulu,read
sane,cap (a poem)
kivangavangavang,enjoy oneself
i,[indistinct]
kungkuan,Schools
pazekatj ni sinsi.,The teacher's exhortation.
pazekatj,Tell; Exhort
ni,[indistinct]
sinsi,Teacher.
paqaljay itjen tua vavulungan.,Respect the elders.
paqaljay,venerate
itjen,We're
tua,[indistinct]
vavulungan,Senior
mare kiljivak tua tja qalialian.,Be kind to your friends.
mare kiljivak,Mutual Love
tua,[indistinct]
tja qalialian,Our friends.
nakuya a pasuvililj tua sema tatakesian.,You cannot be late for school.
nakuya,unacceptable
a,[indistinct]
pasuvililj,Late
tua,[indistinct]
sema,"To, to"
tatakesian,Schools
nakuya a semukakanen itjen.,We must not waste food.
nakuya,unacceptable
a,[indistinct]
semukakanen itjen,Waste of food
tja sisekezan anan!,Let's take a break. Class is over!
tja,influential family
sisekezan anan,Let's take a break.
ari! vaiki a ljesasav a kivangavang.,"Come on, let's go play together."
ari,Let's go.
vaiki,We'll go together.
a,[indistinct]
ljesasav,outside
a,[indistinct]
kivangavang,enjoy oneself
ljatjen a benulu aya! ljemukay aya!,Let's play ball! On the swing!
ljatjen,Let's
a,[indistinct]
benulu,play ball
aya,[Help]
ljemukay,Playing on a Swing
aya,[Help]
"Tjuku, uri semainu sun?","Tjuku, where are you going?"
Tjuku,(woman's name)
uri,will
semainu sun,Where are you going?
uri kacuin aken ni kina a kipapucemel.,Mom's taking me to the doctor.
uri,will
kacuin aken,Take me.
ni,[indistinct]
kina,Mom.
a,[indistinct]
kipapucemel,therapy
makuda sun?,What's wrong with you?
makuda sun,What's wrong with you?
saqetju a ku qulu.,I have a headache.
saqetju,thoroughly
a,[indistinct]
ku qulu,My head.
anema su kinatjenglayan tua undu?,What's your favorite sport?
anema,What's that?
su kinatjenglayan,Your favorite.
tua,[indistinct]
undu,Sports
tjalja tjengelayan aken tua benulu.,My favorite thing to do is to play ball.
tjalja,-est (superlative suffix)
tjengelayan aken,I like it.
tua,[indistinct]
benulu,play ball
kumaya?,Why?
kumaya,Why? - I don't know.
metarivak a tja kinacavacavan.,Keep us healthy.
metarivak,keep
a,[indistinct]
tja kinacavacavan,Our bodies.
macaqu sun a semenay?,Can you sing?
macaqu sun,You will.
a,[indistinct]
semenay,song
"ui, bulay aravac a ku senay.","Yes, I sing very well."
ui,yea
bulay aravac,rare
a,[indistinct]
ku senay,The song I sang.
macaqu sun a zemiyan?,Can you dance?
macaqu sun,You will.
a,[indistinct]
zemiyan,choreography
"ui, sulapiq aken nu zemiyan.","Yes, I'm a very nimble dancer."
ui,yea
sulapiq aken,I'm dexterous.
nu,[indistinct]
zemiyan,dances
pay! senayi sa tje zemiyan numaya.,Come on! Then let's sing and dance together.
pay,Come on.
senayi,Let's sing together.
sa,[indistinct]
tje,We're
zemiyan,dances
numaya,That's it.
pida nga milingan tucu?,What time is it?
pida nga,How much?
milingan,tick the clock
tucu,Today; now
alu anga a milingan tucu.,It is now eight o'clock.
alu anga,It's eight o'clock.
a,[indistinct]
milingan,tick the clock
tucu,Today; now
"nu kadjamadjaman, makudada a su sigacaljan?",What time do you get up in the morning?
nu,When...
kadjamadjaman,mornings
makudada,When and how much
a,[indistinct]
su sigacaljan,The time you got up.
nu i tua unem a milingan a ku sigacaljan.,I got up at six o'clock.
nu,[indistinct]
i,[indistinct]
tua,[indistinct]
unem,6
a,[indistinct]
milingan,tick the clock
a,[indistinct]
ku sigacaljan,My wake-up time
nu masulem taqed sun nu makudakuda?,What time do you go to bed at night?
nu,[indistinct]
masulem,in the evening
taqed sun,You sleep.
nu,[indistinct]
makudakuda,When and how much
nu i tua siva a milingan.,I go to bed at nine o'clock at night.
nu,[indistinct]
i,[indistinct]
tua,[indistinct]
siva,9
a,[indistinct]
milingan,tick the clock
ku kivadaqay sun?,May I ask you something?
ku kivadaqay sun,I ask (you)
izua ti Djanav i tjumaq?,Is Djanav home?
izua,there are
ti,[indistinct]
Djanav,(Name of person)
i,[indistinct]
tjumaq,"classifier for families or businesses e.g. shops, companies"
"ti Pawles aken, neka ti kaka i Djanav.",I'm Pawles. Sister Djanav is not at home.
ti,[indistinct]
Pawles aken,I'm Pawles.
neka,(euphemism) pass away
ti,[indistinct]
kaka,siblings
i,[indistinct]
djanav,(Name of person)
na vaik anga ljesasav.,He's out the door.
na,[indistinct]
vaik anga,There you go.
ljesasav,go out
sa uri tjumaq anga nungida?,When will he return home?
sa,[indistinct]
uri,will
tjumaq anga,Going home.
nungida,when?
uri palamu ki tjumaq.,I'll be back in a minute.
uri,will
palamu,all of a sudden
ki,[indistinct]
tjumaq,return home
kasinu mun katiyav?,Where were you guys yesterday?
kasinu mun,Where are you going?
katiyav,yesterday
na vaik amen a paljilji tjay vuvu.,We went to visit our grand mom.
na,[indistinct]
vaik amen,Let's go.
a,[indistinct]
paljilji,pay a visit
tjay,[indistinct]
vuvu,Ancestor; Grandson
anema sinipakan ni vuvu tjanumun?,What did grand mom invite you to eat?
anema,What's that?
sinipakan,feed
ni,[indistinct]
vuvu,Ancestor; Grandson
tjanumun,You guys.
pinakanan amen  tua vasa katua gang a siaw.,We are invited to eat taro and crab soup.
pinakanan amen,"Please, let's eat."
tua,[indistinct]
vasa,Taro
katua,respond in singing
gang,crabs
a,[indistinct]
siaw,soup
sayguaken a zemuga.,I can draw.
sayguaken,I will.
a,[indistinct]
zemuga,Drawing
sayguaken a zemuga tua ku kina.,I'll draw my mom.
sayguaken,I will.
a,[indistinct]
zemuga,Drawing
tua,[indistinct]
ku kina,My mom.
bulay aravac a maca ni kina.,My mom has beautiful eyes.
bulay aravac,Very beautiful.
a,[indistinct]
maca,eyes
ni,[indistinct]
kina,Mom.
azua a quvalj nimadju qucengecengel saka laruaruq.,Her hair is dark and long.
azua,That.
a,[indistinct]
quvalj,Hair
nimadju,Her.
qucengecengel,black
saka,both... and...
laruaruq,It's long.
"maledepanga a qadav, masulemanga!",The sun has gone down and it's getting dark!
maledepanga,It's sinking.
a,[indistinct]
qadav,sun
masulemanga,It's getting dark.
masulemanga! zemayinganga a kulugi/tjikililj.,It's dark and the crickets are chirping.
masulemanga,It's getting dark.
zemayinganga,Tweet
a,[indistinct]
kulugi/tjikililj,cricket (insect)
"zemayinganga a kulugi/tjikililj, minequtanga a qiljas.",The crickets are chirping and the moon is out.
zemayinganga,Tweet.
a,[indistinct]
kulugi/tjikililj,cricket (insect)
minequtanga,Appearance
a,[indistinct]
qiljas,the moon
"minequtanga a qiljas, pacekedanga a ljequ.",The moon is out and the owls are awake.
minequtanga,Appearance
a,[indistinct]
qiljas,the moon
pacekedanga,Awake.
a,[indistinct]
ljequ,Owl
uri qemadav tucu?,Is it going to be sunny today?
uri,will
qemadav,Out of the Sun
tucu,Today; now
"ui, uri qemadav tucu.","Yes, it's going to be sunny today."
ui,yea
uri,will
qemadav,Out of the Sun
tucu,Today; now
na tjemalupung ti kina a semasasav?,Did Mom wear a hat outside?
na,[indistinct]
tjemalupung,(fig.) stigmatize
ti,[indistinct]
kina,Mom.
a,[indistinct]
semasasav,outside
"ini, na malim/madrawdrav timadju a tjemalupung.","No, she forgot her hat."
ini,fault
na,[indistinct]
malim/madrawdrav,forget
timadju,she
a,[indistinct]
tjemalupung,(fig.) stigmatize
"nu pasuvililj tua cengelj, maqatiaken a vaik a kivangavang?",Can I go out this afternoon?
nu,[indistinct]
pasuvililj tua cengelj,afternoon
maqatiaken,I can.
a,[indistinct]
vaik,go out
a,[indistinct]
kivangavang,sth. used for amusement
"nakuya, qemudjaqudjalj a i sasav.",I can't. It's raining.
nakuya,be out of the question
qemudjaqudjalj,pouring
a,[indistinct]
i,over
sasav,surface
"nu semekezanga a qudjalj, maqatiaken a sema sasav?","If it stops raining, can I go out?"
nu,[indistinct]
semekezanga,Stopped.
a,[indistinct]
qudjalj,"(of rain, snow etc) fall"
maqatiaken,possible
a,[indistinct]
sema,until (a time)
sasav,surface
"maqati, nu masulem kipaqenetju tua tjumaq dri!","Yes, but remember to go home in the evening!"
maqati,possible
nu,[indistinct]
masulem,get dark
kipaqenetju,Remember
tua,[indistinct]
tjumaq,return home
dri,[indistinct]
nutiav mavan a pinualjakan ni vuvu i Buka.,Tomorrow is Grandpa Buka's birthday.
nutiav,for tomorrow
mavan,just like
a,[indistinct]
pinualjakan,birthdays
ni vuvu i Buka,Grandpa Buka
uri kemesaamen kati kaka i Muni tua qavay.,Sister Muni and I are going to cook rice cakes.
uri,will
kemesaamen,We'll cook.
kati,cap (a poem)
kaka i Muni,Sister Muni.
tua,[indistinct]
qavay,"mi gao, a kind of rice cake"
uri sipavai nutiav tjay vuvu i Buka.,I'm giving it to Grandpa Buka tomorrow.
uri,will
sipavai,For
nutiav,for tomorrow
tjay,[indistinct]
vuvu i Buka,Grandpa Buka
ulja na mintjus ti vuvu i Buka tua levaan.,I hope Grandpa Buka has a happy surprise.
ulja,wish
na,[indistinct]
mintjus,Surprise
ti vuvu i Buka,Grandpa Buka
tua,[indistinct]
levaan,happy
ti imamun?,Who are you?
ti imamun,Who are you?
"ti Vais kati Tjuku amen, pai suqeljevi a paljing.","We are Vais and Tjuku, please open the door."
ti Vais,It's Vais.
kati,respond in singing
Tjuku,(woman's name)
amen,We're
pai,[indistinct]
suqeljevi,Please open
a,[indistinct]
paljing,doorway
ay! manu timun! na singlitaken tjaynumun.,"Oh, my God! It's you guys! I missed you guys so much."
ay,[indistinct]
manu,Original
timun,You guys.
na,[indistinct]
singlitaken,I miss it.
tjaynumun,You guys.
vuvu! kalevau tua supinualjakan!,Grandma! Happy birthday to you!
vuvu,Ancestor; Grandson
kalevau,Have a nice day.
tua,[indistinct]
supinualjakan,Your birthday.
tjikezem ti vuvu a vavayan sa inuli.,Grandma closed her eyes and prayed.
tjikezem,Close it.
ti,[indistinct]
vuvu a vavayan,grand mom
sa,then
inuli,Prayer
qivu/pasemalav tu tjelu tua kinasaljingan.,Three wishes were expressed.
qivu/pasemalav,say
tu,[indistinct]
tjelu,surname San
tua,[indistinct]
kinasaljingan,Wish
na saljingaken tu meqacamun.,I want you to grow up.
na,[indistinct]
saljingaaken,I hope.
tu,[indistinct]
meqacamun,You grow up.
na saljingaken tu suljivatjitjen a mapuljat.,I hope our family is safe.
na,[indistinct]
saljingaken,I hope.
tu,[indistinct]
suljivatjitjen,We're safe.
a,[indistinct]
mapuljat,influential family
na saljingaken tu pulamiitjen tucu a cavilj.,I hope we have a great harvest this year.
na,[indistinct]
saljingaken,I hope.
tu,[indistinct]
pulamiitjen,We have a good harvest.
tucu a cavilj,last year
nu tapulavayan pida a qadav?,How many days a week?
nu,[indistinct]
tapulavayan,one week
pida,which (number)
a,[indistinct]
qadav,Sun; day
izua pitju a qadav.,Seven days a week.
izua,there are
pitju,7
a,[indistinct]
qadav,Sun; day
sikamasanpidalj a qadavan tucu?,What day of the week is it?
sikamasanpidalj,The first few
a,[indistinct]
qadavan,"Days, days"
tucu,Today; now
niciyubi tucu.,It's Sunday.
niciyubi,Sunday
tucu,Today; now
uri vaikamen a semakiukay a lihay.,We are going to church for worship.
uri,will
vaikamen,Let's go.
a,[indistinct]
semakiukay,To the Church
a,[indistinct]
lihay,worship
"nu kaljazalangzangan, qaca a zaljum i pana.",Summer streams are plentiful.
nu,[indistinct]
kaljazalangzangan,in summer
qaca,large
a,[indistinct]
zaljum,(of clothes) classifier for number of washes
i,over
pana,"Creek, River"
"ljakua, nu kaljazekaran/kaljadjaljemdjeman kedri a zaljum i pana.","However, there is little water in the stream in the winter."
ljakua,yet
nu,[indistinct]
kaljazekaran/kaljadjaljemdjeman,in winter
kedri,I (when talking a superior)
a,[indistinct]
zaljum,(of clothes) classifier for number of washes
i,[indistinct]
pana,creek
nu kaljazalangzangan na pulavayangaamen.,It's summer. We're on summer vacation.
nu,[indistinct]
kaljazalangzangan,It's summer.
na,[indistinct]
pulavayangaamen,We're on summer vacation.
"ljakua, semanliav a raljiz.","However, there will be many typhoons."
ljakua,still
semanliav,repeatedly
a,[indistinct]
raljiz,Typhoon; Natural Disaster
"azua anga raljiz, uri vaikananmun tucu a sema kungkuan?","Typhoon is coming, do you still have to go to school today?"
azua anga,I'm coming.
raljiz,Typhoon; Natural Disaster
uri,will
vaikananmun,You're still going.
tucu,Today; now
a,[indistinct]
sema,toward
kungkuan,Schools
inika vaikangamen tucu a sema kungkuan.,We don't have to go to school today.
inika,does not have to
vaikangamen,(after a verb of motion indicates movement away from the speaker)
tucu,Today; now
a,[indistinct]
sema,until (a time)
kungkuan,Schools
kaitjumaqu! maya ljesasav.,You stay home! Don't go out.
kaitjumaqu,You're staying home.
maya,unacceptable
ljesasav,go out
ui! nakiljivakamen.,We'll keep an eye out! We'll keep an eye out.
ui,yea
nakiljivakamen,We'll keep an eye out.
nu kaljadjeljeman malum a kamurav.,"In the fall, the grapefruit is ripe."
nu,[indistinct]
kaljadjeljeman,autumn
malum,Mature.
a,[indistinct]
kamurav,pomelo (Citrus maxima or C. grandis)
"azua i makagadu izua ljelualuas, izua qudjidjilj, izua qulivalivay uta.","The whole mountain is green, red and yellow."
azua,That.
i,over
makagadu,The whole mountain.
izua,there are
ljelualuas,green
izua,there are
qudjidjilj,Red.
izua,there are
qulivalivay,Yellow.
uta,surname Ye
"tia Saljeljeng a taqumaqanan, vaik a mapuljat a sema gadu a kikamurav.","The Saljeljeng family, all of whom went to the mountains to pick grapefruit."
tia,[indistinct]
Saljeljeng,(woman's name)
a,[indistinct]
taqumaqanan,(one's) family
vaik,(after a verb of motion indicates movement away from the speaker)
a,[indistinct]
mapuljat,everyone
a,[indistinct]
sema,until (a time)
gadu,bundled straw in which silkworms spin cocoons
a,[indistinct]
kikamurav,pomelo (Citrus maxima or C. grandis)
na palamu saka na mapeljuqanga a drakuyan/padrekan.,It only took a moment to fill the box.
na,[indistinct]
palamu,all of a sudden
saka,[indistinct]
na,[indistinct]
mapeljuqanga,It's full.
a,[indistinct]
drakuyan/padrekan,Plastic basket.
taluvuanamen a sasiq.,We're a bunch of ants.
taluvuanamen,We're a bunch of
a,[indistinct]
sasiq,ants
paravacamen a karakuda.,Work hard.
paravacamen,We work hard.
a,[indistinct]
karakuda,(of a machine) operate
azua a lunung i zaleman katua qatjuvitjuvi i cemecemel.,The grain of rice on the ground and the worm in the bush.
azua,That.
a,[indistinct]
lunung,Rice
i,exist
zaleman,on the ground
katua,cap (a poem)
qatjuvitjuvi,insect
i,exist
cemecemel,bushes
niasakucen a penuljat a pasatjumaq.,We're all moving home.
niasakucen,We moved...
a,[indistinct]
penuljat,full
a,[indistinct]
pasatjumaq,go home
